Downloaded from “FILMETRICS”,http://www.filmetricsinc.jp/refractive-index-database
Wavelength(nm),k
187.88,1.13
189.31,1.1494
190.77,1.16
192.25,1.1681
193.75,1.18
195.28,1.1944
196.83,1.21
198.4,1.2256
200,1.24
201.63,1.2513
203.28,1.26
204.96,1.2656
206.67,1.27
208.4,1.275
210.17,1.28
211.97,1.2853
213.79,1.29
215.65,1.2928
217.54,1.295
219.47,1.2975
221.43,1.3
223.42,1.3025
225.45,1.305
227.52,1.3072
229.63,1.31
231.78,1.3147
233.96,1.32
236.19,1.325
238.46,1.33
240.78,1.335
243.14,1.34
245.54,1.3456
248,1.35
250.51,1.3506
253.06,1.35
255.67,1.35
258.33,1.35
261.05,1.3513
263.83,1.35
266.67,1.3413
269.57,1.33
272.53,1.3219
275.56,1.31
278.65,1.2881
281.82,1.26
285.06,1.2288
288.37,1.19
291.76,1.143
295.24,1.08
298.8,0.9888
302.44,0.882
306.17,0.7611
310,0.647
313.92,0.5509
317.95,0.504
322.08,0.5544
326.32,0.663
330.67,0.8186
335.14,0.986
339.73,1.1207
344.44,1.24
349.3,1.3453
354.29,1.44
359.42,1.5338
364.71,1.61
370.15,1.6419
375.76,1.67
381.54,1.735
387.5,1.81
393.65,1.8788
400,1.95
406.56,2.0294
413.33,2.11
420.34,2.1863
427.59,2.26
435.09,2.3294
442.86,2.4
450.91,2.4788
459.26,2.56
467.92,2.64
476.92,2.72
486.27,2.7981
496,2.88
506.12,2.9738
516.67,3.07
527.66,3.1594
539.13,3.25
551.11,3.3481
563.64,3.45
576.74,3.5538
590.48,3.66
604.88,3.7663
620,3.88
635.9,4.0106
652.63,4.15
670.27,4.2931
688.89,4.44
708.57,4.5863
729.41,4.74
751.52,4.9081
775,5.09
800,5.2888
826.67,5.5
855.17,5.7206
885.71,5.95
918.52,6.1831
953.85,6.43
992,6.6975
1033.33,6.99
1078.26,7.3138
1127.27,7.67
1180.95,8.0606
1240,8.49
1305.26,8.9538
1377.78,9.48
1458.82,10.1144
1550,10.8
1653.33,11.445
1771.43,12.2
1907.69,13.155
2066.67,14.4
