Downloaded from “FILMETRICS”,http://www.filmetricsinc.jp/refractive-index-database
Wavelength(nm),k
183.68,2.07
185.05,2.085002
186.44,2.103344
187.86,2.124184
189.29,2.146683
190.75,2.17
192.23,2.193295
193.73,2.215727
195.25,2.237511
196.8,2.258863
198.38,2.28
199.98,2.301136
201.6,2.322489
203.25,2.344273
204.93,2.366705
206.64,2.39
208.38,2.414375
210.14,2.44
211.94,2.465625
213.77,2.49
215.63,2.509375
217.52,2.53
219.44,2.559375
221.4,2.59
223.4,2.615
225.43,2.64
227.5,2.669375
229.6,2.7
231.75,2.73
233.93,2.76
236.16,2.79
238.43,2.82
240.75,2.85
243.11,2.88
245.52,2.909375
247.97,2.94
250.48,2.975
253.03,3.01
255.64,3.039375
258.3,3.07
261.02,3.109375
263.8,3.15
266.63,3.185
269.53,3.22
272.49,3.259375
275.52,3.3
278.62,3.339375
281.78,3.38
285.02,3.425
288.34,3.47
291.73,3.51
295.2,3.55
298.76,3.59375
302.4,3.64
306.14,3.689375
309.96,3.74
313.89,3.789375
317.91,3.84
322.04,3.894375
326.28,3.95
330.63,4.005
335.1,4.06
339.69,4.11375
344.4,4.17
349.25,4.23375
354.24,4.3
359.38,4.365
364.66,4.43
370.11,4.49375
375.71,4.56
381.49,4.63375
387.45,4.71
393.6,4.784375
399.95,4.86
406.51,4.938125
413.28,5.02
420.29,5.10875
427.54,5.2
435.04,5.29
442.8,5.38
450.86,5.48
459.2,5.58
467.87,5.69
476.87,5.8
486.22,5.915
495.94,6.03
506.06,6.15
516.6,6.28
527.6,6.42
539.07,6.55
551.05,6.7
563.57,6.85
576.68,7
590.41,7.15
604.81,7.31
619.93,7.48
635.82,7.65
652.55,7.82
670.19,8.01
688.81,8.21
708.49,8.39
729.32,8.57
751.43,8.62
774.91,8.6
799.9,8.45
826.57,8.31
855.07,8.21
885.61,8.21
918.41,8.44
953.73,8.95
991.88,9.49
1033.21,10
1078.13,10.6
1127.14,11.2
1180.81,11.8
1239.85,12.5
1305.11,13.2
1377.61,14
1458.65,14.9
1549.81,16
1653.14,17.1
1771.22,18.3
1907.46,19.8
2066.42,21.4
2254.28,23.3
2479.7,25.6
