Downloaded from “FILMETRICS”,http://www.filmetricsinc.jp/refractive-index-database
Wavelength(nm),k
206.64,1.306
208.38,1.31925
210.14,1.334
211.94,1.34925
213.77,1.364
215.63,1.376
217.52,1.388
219.44,1.403
221.4,1.418
223.4,1.42963
225.43,1.442
227.5,1.4595
229.6,1.478
231.75,1.49375
233.93,1.51
236.16,1.5295
238.43,1.55
240.75,1.56963
243.11,1.59
245.52,1.61163
247.97,1.636
250.48,1.66675
253.03,1.698
255.64,1.72463
258.3,1.748
261.02,1.76675
263.8,1.784
266.63,1.80338
269.53,1.822
272.49,1.8375
275.52,1.852
278.62,1.86775
281.78,1.882
285.02,1.89175
288.34,1.9
291.73,1.91
295.2,1.918
298.76,1.92038
302.4,1.92
306.14,1.91888
309.96,1.916
313.89,1.91138
317.91,1.904
322.04,1.89138
326.28,1.878
330.63,1.86825
335.1,1.86
339.69,1.85175
344.4,1.846
349.25,1.84525
354.24,1.848
359.38,1.85238
364.66,1.862
370.11,1.883
375.71,1.906
381.49,1.9225
387.45,1.936
393.6,1.94775
399.95,1.956
406.51,1.95938
413.28,1.958
420.29,1.95138
427.54,1.94
435.04,1.9245
442.8,1.904
450.86,1.87588
459.2,1.846
467.87,1.81463
476.87,1.796
486.22,1.79738
495.94,1.84
506.06,1.9565
516.6,2.12
527.6,2.32625
539.07,2.54
551.05,2.73063
563.57,2.88
576.68,2.94063
590.41,2.97
604.81,3.015
619.93,3.06
635.82,3.07
652.55,3.15
670.19,3.44581
688.81,3.8
708.49,4.08769
729.32,4.357
751.43,4.61019
774.91,4.86
799.9,5.12581
826.57,5.39
855.07,5.63125
885.61,5.88
918.41,6.16813
953.73,6.47
991.88,6.75313
1033.21,7.07
1078.13,7.485
1127.14,7.93
1180.81,8.40375
1239.85,8.77
1305.11,8.7575
1377.61,8.77
1458.65,9.20313
1549.81,9.81
1653.14,10.4575
1771.22,11.2
1907.46,12.03063
2066.42,13
2254.28,14.14438
2479.7,15.5
