Downloaded from “FILMETRICS”,http://www.filmetricsinc.jp/refractive-index-database
Wavelength(nm),k
330,1.002586E-006
333.12,0.000000871
336.89,0.00000076
340.65,0.000000683
344.41,0.000000627
348.17,0.000000588
351.93,0.00000056
355.68,0.00000054
359.43,0.000000525
363.18,0.000000514
366.93,0.000000506
370.68,0.0000005
374.42,0.000000495
378.16,0.000000492
381.91,0.000000489
385.64,0.000000487
389.38,0.000000484
393.11,0.000000483
396.85,0.000000481
400.58,0.00000048
404.31,0.000000478
408.03,0.000000477
411.76,0.000000476
415.48,0.000000475
419.2,0.000000474
422.92,0.000000473
426.63,0.000000472
430.35,0.000000471
434.06,0.000000469
437.77,0.000000468
441.48,0.000000467
445.18,0.000000466
448.89,0.000000465
452.59,0.000000464
458.5,0.000000463
462.2,0.000000462
465.9,0.000000461
469.59,0.000000459
473.28,0.000000458
476.97,0.000000457
480.66,0.000000456
484.34,0.000000455
488.02,0.000000454
491.7,0.000000453
495.38,0.000000452
499.06,0.000000451
502.73,0.00000045
506.4,0.000000449
510.08,0.000000448
513.74,0.000000447
517.41,0.000000445
521.07,0.000000444
524.74,0.000000443
528.4,0.000000442
532.05,0.000000441
535.71,0.00000044
539.36,0.000000439
543.02,0.000000438
546.67,0.000000437
550.31,0.000000435
553.96,0.000000434
557.6,0.000000433
561.25,0.000000432
564.89,0.000000431
568.52,0.00000043
572.16,0.000000429
575.79,0.000000427
579.43,0.000000426
583.06,0.000000425
586.68,0.000000424
590.31,0.000000423
593.93,0.000000422
597.55,0.000000421
601.17,0.000000419
604.79,0.000000418
608.41,0.000000417
612.02,0.000000416
615.63,0.000000415
619.24,0.000000414
622.85,0.000000413
626.45,0.000000411
630.06,0.00000041
633.66,0.000000409
637.26,0.000000408
640.86,0.000000407
644.45,0.000000406
648.04,0.000000405
651.64,0.000000403
655.22,0.000000402
658.81,0.000000401
662.4,0.0000004
665.98,0.000000399
669.56,0.000000398
673.14,0.000000397
676.72,0.000000396
680.29,0.000000394
683.86,0.000000393
687.44,0.000000392
691,0.000000391
694.57,0.00000039
698.14,0.000000389
701.7,0.000000388
705.26,0.000000387
