Downloaded from “FILMETRICS”,http://www.filmetricsinc.jp/refractive-index-database
Wavelength(nm),n
330,1.54393
333.12,1.5431
336.89,1.5422
340.65,1.5413
344.41,1.5405
348.17,1.5397
351.93,1.5389
355.68,1.5382
359.43,1.5374
363.18,1.5367
366.93,1.5361
370.68,1.5354
374.42,1.5348
378.16,1.5342
381.91,1.5336
385.64,1.533
389.38,1.5324
393.11,1.5319
396.85,1.5314
400.58,1.5309
404.31,1.5304
408.03,1.5299
411.76,1.5294
415.48,1.529
419.2,1.5286
422.92,1.5281
426.63,1.5277
430.35,1.5273
434.06,1.5269
437.77,1.5266
441.48,1.5262
445.18,1.5258
448.89,1.5255
452.59,1.5251
458.5,1.5246
462.2,1.5243
465.9,1.524
469.59,1.5237
473.28,1.5234
476.97,1.5231
480.66,1.5228
484.34,1.5225
488.02,1.5223
491.7,1.522
495.38,1.5217
499.06,1.5215
502.73,1.5213
506.4,1.521
510.08,1.5208
513.74,1.5205
517.41,1.5203
521.07,1.5201
524.74,1.5199
528.4,1.5197
532.05,1.5195
535.71,1.5193
539.36,1.5191
543.02,1.5189
546.67,1.5187
550.31,1.5185
553.96,1.5183
557.6,1.5181
561.25,1.518
564.89,1.5178
568.52,1.5176
572.16,1.5174
575.79,1.5173
579.43,1.5171
583.06,1.517
586.68,1.5168
590.31,1.5167
593.93,1.5165
597.55,1.5164
601.17,1.5162
604.79,1.5161
608.41,1.5159
612.02,1.5158
615.63,1.5157
619.24,1.5155
622.85,1.5154
626.45,1.5153
630.06,1.5151
633.66,1.515
637.26,1.5149
640.86,1.5148
644.45,1.5147
648.04,1.5145
651.64,1.5144
655.22,1.5143
658.81,1.5142
662.4,1.5141
665.98,1.514
669.56,1.5139
673.14,1.5138
676.72,1.5137
680.29,1.5135
683.86,1.5134
687.44,1.5133
691,1.5132
694.57,1.5131
698.14,1.513
701.7,1.513
705.26,1.5129
708.82,1.5128
712.38,1.5127
715.93,1.5126
719.48,1.5125
723.03,1.5124
726.58,1.5123
730.13,1.5122
733.67,1.5121
737.22,1.5121
740.76,1.512
744.3,1.5119
747.83,1.5118
751.37,1.5117
754.9,1.5116
758.43,1.5116
761.96,1.5115
765.48,1.5114
769.01,1.5113
772.53,1.5113
776.05,1.5112
779.57,1.5111
783.09,1.511
786.6,1.511
790.11,1.5109
793.62,1.5108
797.13,1.5107
800.64,1.5107
804.14,1.5106
807.64,1.5105
811.14,1.5105
814.64,1.5104
818.14,1.5103
821.63,1.5103
825.12,1.5102
828.61,1.5101
832.1,1.5101
835.59,1.51
839.07,1.5099
842.55,1.5099
846.03,1.5098
849.51,1.5098
852.98,1.5097
856.46,1.5096
861.32,1.5095
866.17,1.5095
869.64,1.5094
873.1,1.5093
876.57,1.5093
880.03,1.5092
883.48,1.5092
886.94,1.5091
890.39,1.5091
893.84,1.509
897.29,1.5089
900.74,1.5089
904.19,1.5088
907.63,1.5088
911.07,1.5087
914.51,1.5087
917.95,1.5086
921.39,1.5086
924.82,1.5085
928.25,1.5085
931.68,1.5084
935.11,1.5083
938.53,1.5083
941.96,1.5082
946.06,1.5082
950.85,1.5081
955.63,1.508
960.41,1.508
965.18,1.5079
969.95,1.5078
974.72,1.5078
979.53,1.5077
984.92,1.5076
990.35,1.5075
995.1,1.5075
999.84,1.5074
1004.6,1.5073
1009.5,1.5073
1014.7,1.5072
1019.5,1.5071
1024.2,1.5071
1028.9,1.507
1034.3,1.5069
1039,1.5069
1043.7,1.5068
1048.4,1.5067
1053.1,1.5067
1057.8,1.5066
1062.5,1.5066
1067.2,1.5065
1071.9,1.5064
1077.2,1.5064
1081.9,1.5063
1087.3,1.5062
1092.1,1.5062
1097.2,1.5061
1106.1,1.506
1121.6,1.5058
1137.1,1.5056
1152.5,1.5054
1167.9,1.5052
1183.3,1.505
1198.7,1.5048
1214,1.5047
1229.3,1.5045
1244.6,1.5043
1259.9,1.5041
1275.1,1.5039
1290.4,1.5037
1305.5,1.5036
1320.7,1.5034
1335.8,1.5032
1351,1.503
1366,1.5028
1381.1,1.5027
1396.1,1.5025
1411.2,1.5023
1426.1,1.5021
1441.1,1.5019
1456,1.5018
1471,1.5016
1485.8,1.5014
1500.7,1.5012
1515.5,1.5011
1530.3,1.5009
1545.1,1.5007
1559.9,1.5005
1574.6,1.5003
1589.3,1.5002
1604,1.5
1618.7,1.4998
1633.3,1.4996
1647.9,1.4994
1662.5,1.4993
1677,1.4991
1691.6,1.4989
1706.1,1.4987
1710,1.4986
1715,1.4985
1720,1.4985
1725,1.4984
1730,1.4983
1735,1.4983
1740,1.4982
1745,1.4981
1750,1.4981
1755,1.498
1760,1.4979
1765,1.4979
1770,1.4978
1775,1.4977
1780,1.4977
1785,1.4976
1790,1.4975
1795,1.4974
1800,1.4974
1805,1.4973
1810,1.4972
1815,1.4972
1820,1.4971
1825,1.497
1830,1.497
1835,1.4969
1840,1.4968
1845,1.4968
1850,1.4967
1855,1.4966
1860,1.4965
1865,1.4965
1870,1.4964
1875,1.4963
1880,1.4963
1885,1.4962
1890,1.4961
1895,1.496
1900,1.496
1905,1.4959
1910,1.4958
1915,1.4958
1920,1.4957
1925,1.4956
1930,1.4955
1935,1.4955
1940,1.4954
1945,1.4953
1950,1.4952
1955,1.4952
1960,1.4951
1965,1.495
1970,1.495
1975,1.4949
1980,1.4948
1985,1.4947
1990,1.4947
1995,1.4946
2000,1.4945
2005,1.4944
2010,1.4944
2015,1.4943
2020,1.4942
2025,1.4941
2030,1.494
2035,1.494
2040,1.4939
2045,1.4938
2050,1.4937
2055,1.4937
2060,1.4936
2065,1.4935
2070,1.4934
2075,1.4934
2080,1.4933
2085,1.4932
2090,1.4931
2095,1.493
2100,1.493
2105,1.4929
2110,1.4928
2115,1.4927
2120,1.4926
2125,1.4926
2130,1.4925
2135,1.4924
2140,1.4923
2145,1.4922
2150,1.4922
2155,1.4921
2160,1.492
2165,1.4919
2170,1.4918
2175,1.4918
2180,1.4917
2185,1.4916
2190,1.4915
2195,1.4914
2200,1.4913
2205,1.4913
2210,1.4912
2215,1.4911
2220,1.491
2225,1.4909
2230,1.4908
2235,1.4908
2240,1.4907
2245,1.4906
2250,1.4905
2255,1.4904
2260,1.4903
2265,1.4903
2270,1.4902
2275,1.4901
2280,1.49
2285,1.4899
2290,1.4898
2295,1.4897
2300,1.4897
2305,1.4896
2310,1.4895
2315,1.4894
2320,1.4893
2325,1.4892
2330,1.4891
2335,1.489
2340,1.489
2345,1.4889
2350,1.4888
2355,1.4887
2360,1.4886
2365,1.4885
2370,1.4884
2375,1.4883
2380,1.4882
2385,1.4882
2390,1.4881
2395,1.488
2400,1.4879
2405,1.4878
2410,1.4877
2415,1.4876
2420,1.4875
2425,1.4874
2430,1.4873
2435,1.4872
2440,1.4871
2445,1.4871
2450,1.487
2455,1.4869
2460,1.4868
2465,1.4867
2470,1.4866
2475,1.4865
2480,1.4864
2485,1.4863
2490,1.4862
2495,1.4861
2500,1.486
