Downloaded from “FILMETRICS”,http://www.filmetricsinc.jp/refractive-index-database
Wavelength(nm),k
250,1.7446
260.83,1.8052
271.67,1.8766
282.5,1.9587
293.33,2.0478
304.17,2.1421
315,2.2319
325.83,2.3242
336.67,2.4198
347.5,2.5128
358.33,2.5992
369.17,2.6963
380,2.8135
390.83,2.918
401.67,3.0167
412.5,3.1037
423.33,3.1926
434.17,3.2793
445,3.3627
455.83,3.4387
466.67,3.509
477.5,3.5795
488.33,3.6435
499.17,3.7154
510,3.7772
520.83,3.8441
531.67,3.8923
542.5,3.9487
553.33,3.9965
564.17,4.0501
575,4.1014
585.83,4.1452
596.67,4.1877
607.5,4.2355
618.33,4.2681
629.17,4.2973
640,4.3356
650.83,4.3699
661.67,4.399
672.5,4.4196
683.33,4.4517
694.17,4.4619
705,4.4948
715.83,4.5207
726.67,4.5614
737.5,4.5646
748.33,4.5897
759.17,4.6094
770,4.6434
780.83,4.6647
791.67,4.6916
802.5,4.7181
813.33,4.7396
824.17,4.7706
835,4.7787
845.83,4.817
856.67,4.8325
867.5,4.8628
878.33,4.8732
889.17,4.892
900,4.7659
