Downloaded from “FILMETRICS”,http://www.filmetricsinc.jp/refractive-index-database
Wavelength(nm),n
250,1.2238
260.83,1.2244
271.67,1.2186
282.5,1.2082
293.33,1.2113
304.17,1.222
315,1.2306
325.83,1.2516
336.67,1.2702
347.5,1.291
358.33,1.3101
369.17,1.3237
380,1.3544
390.83,1.414
401.67,1.4626
412.5,1.5169
423.33,1.5762
434.17,1.6353
445,1.6969
455.83,1.7669
466.67,1.8217
477.5,1.8837
488.33,1.9507
499.17,2.0202
510,2.0859
520.83,2.1465
531.67,2.206
542.5,2.2781
553.33,2.3316
564.17,2.4016
575,2.4613
585.83,2.531
596.67,2.5922
607.5,2.6648
618.33,2.7365
629.17,2.7956
640,2.8594
650.83,2.9161
661.67,2.9693
672.5,3.0299
683.33,3.0979
694.17,3.151
705,3.1983
715.83,3.2544
726.67,3.3076
737.5,3.3525
748.33,3.3964
759.17,3.4431
770,3.4911
780.83,3.5424
791.67,3.585
802.5,3.6279
813.33,3.6696
824.17,3.7257
835,3.7487
845.83,3.787
856.67,3.8029
867.5,3.853
878.33,3.8858
889.17,3.8996
900,3.8499
