Downloaded from “FILMETRICS”,http://www.filmetricsinc.jp/refractive-index-database
Wavelength(nm),k
206.63,1.71
210.14,1.72
213.76,1.72
217.51,1.72
221.39,1.73
225.42,1.74
229.59,1.76
233.92,1.78
238.42,1.81
243.1,1.85
247.96,1.9
253.02,1.95
258.29,2
263.79,2.05
269.52,2.09
275.51,2.14
281.77,2.19
288.33,2.24
295.19,2.3
302.39,2.35
309.95,2.4
317.9,2.45
326.26,2.5
335.08,2.55
344.39,2.59
354.23,2.64
364.65,2.68
375.7,2.72
387.44,2.77
399.94,2.85
413.27,2.93
427.52,3.02
442.79,3.1
459.19,3.18
476.85,3.26
495.92,3.3
516.58,3.33
539.04,3.33
563.55,3.32
590.38,3.3
619.9,3.3
652.53,3.33
688.78,3.37
729.29,3.4
774.88,3.44
826.53,3.48
885.57,3.52
953.69,3.56
1033.17,3.58
1127.09,3.58
1239.8,3.62
