Downloaded from “FILMETRICS”,http://www.filmetricsinc.jp/refractive-index-database
Wavelength(nm),n
206.63,1.46
210.14,1.46
213.76,1.47
217.51,1.47
221.39,1.45
225.42,1.43
229.59,1.41
233.92,1.39
238.42,1.37
243.1,1.36
247.96,1.36
253.02,1.37
258.29,1.38
263.79,1.38
269.52,1.39
275.51,1.43
281.77,1.44
288.33,1.46
295.19,1.5
302.39,1.54
309.95,1.58
317.9,1.63
326.26,1.67
335.08,1.71
344.39,1.77
354.23,1.84
364.65,1.86
375.7,1.9
387.44,1.95
399.94,2.01
413.27,2.08
427.52,2.17
442.79,2.27
459.19,2.4
476.85,2.56
495.92,2.75
516.58,2.91
539.04,3.11
563.55,3.22
590.38,3.21
619.9,3.16
652.53,3.1
688.78,3.06
729.29,3.06
774.88,3.11
826.53,3.21
885.57,3.29
953.69,3.37
1033.17,3.5
1127.09,3.62
1239.8,3.68
