Downloaded from “FILMETRICS”,http://www.filmetricsinc.jp/refractive-index-database
Wavelength(nm),k
190.77,1.37
192.25,1.3922
193.75,1.4146
195.28,1.4369
196.83,1.4593
198.4,1.4816
200,1.5037
201.63,1.5257
203.28,1.5474
204.96,1.5689
206.67,1.59
208.4,1.6107
210.17,1.631
211.97,1.6506
213.79,1.67
215.65,1.69
217.54,1.709
219.47,1.7255
221.43,1.74
223.42,1.7524
225.45,1.763
227.52,1.7718
229.63,1.78
231.78,1.7905
233.96,1.799
236.19,1.8008
238.46,1.8
240.78,1.8008
243.14,1.799
245.54,1.7909
248,1.78
250.51,1.7703
253.06,1.757
255.67,1.7338
258.33,1.71
261.05,1.6938
263.83,1.682
266.67,1.6756
269.57,1.67
272.53,1.6588
275.56,1.648
278.65,1.6433
281.82,1.64
285.06,1.6333
288.37,1.629
291.76,1.6309
295.24,1.64
298.8,1.6621
302.44,1.687
306.17,1.7033
310,1.72
313.92,1.7446
317.95,1.77
322.08,1.7916
326.32,1.81
330.67,1.8221
335.14,1.834
339.73,1.8518
344.44,1.872
349.3,1.8943
354.29,1.916
359.42,1.9317
364.71,1.95
370.15,1.9724
375.76,2.015
381.54,2.1216
387.5,2.21
393.65,2.1772
400,2.13
406.56,2.1601
413.33,2.21
420.34,2.2499
427.59,2.289
435.09,2.326
442.86,2.362
450.91,2.3976
459.26,2.433
467.92,2.4692
476.92,2.504
486.27,2.5359
496,2.564
506.12,2.5896
516.67,2.605
527.66,2.5956
539.13,2.583
551.11,2.5765
563.64,2.599
576.74,2.6781
590.48,2.809
604.88,3.0108
620,3.24
635.9,3.4582
652.63,3.67
670.27,3.8631
688.89,4.05
708.57,4.2396
729.41,4.43
751.52,4.6196
775,4.817
800,5.0341
826.67,5.26
855.17,5.4856
885.71,5.717
918.52,5.9534
953.85,6.206
992,6.4833
1033.33,6.793
1078.26,7.1468
1127.27,7.542
1180.95,8.1166
1240,8.46
1305.26,7.9111
1377.78,7.36
1458.82,7.6694
1550,8.26
1653.33,8.7919
1771.43,9.41
1907.69,10.1394
2066.67,11
2254.55,12.0131
2480,13.2
