Downloaded from “FILMETRICS”,http://www.filmetricsinc.jp/refractive-index-database
Wavelength(nm),n
190.77,0.958
192.25,0.9571
193.75,0.9589
195.28,0.9631
196.83,0.9694
198.4,0.9778
200,0.9878
201.63,0.9993
203.28,1.0119
204.96,1.0256
206.67,1.04
208.4,1.0549
210.17,1.07
211.97,1.0844
213.79,1.1
215.65,1.1194
217.54,1.14
219.47,1.1594
221.43,1.18
223.42,1.2044
225.45,1.23
227.52,1.255
229.63,1.28
231.78,1.305
233.96,1.33
236.19,1.3553
238.46,1.38
240.78,1.4028
243.14,1.425
245.54,1.4484
248,1.47
250.51,1.4859
253.06,1.5
255.67,1.5172
258.33,1.53
261.05,1.5297
263.83,1.525
266.67,1.5231
269.57,1.52
272.53,1.5131
275.56,1.505
278.65,1.4988
281.82,1.49
285.06,1.4738
288.37,1.455
291.76,1.4378
295.24,1.42
298.8,1.4003
302.44,1.38
306.17,1.3584
310,1.34
313.92,1.3291
317.95,1.325
322.08,1.3325
326.32,1.34
330.67,1.3344
335.14,1.325
339.73,1.3178
344.44,1.31
349.3,1.3003
354.29,1.29
359.42,1.2816
364.71,1.27
370.15,1.2491
375.76,1.225
381.54,1.2
387.5,1.18
393.65,1.1744
400,1.175
406.56,1.1775
413.33,1.18
420.34,1.1781
427.59,1.175
435.09,1.1728
442.86,1.17
450.91,1.1653
459.26,1.16
467.92,1.1553
476.92,1.15
486.27,1.1428
496,1.135
506.12,1.1316
516.67,1.12
527.66,1.0924
539.13,1.04
551.11,0.9504
563.64,0.826
576.74,0.6459
590.48,0.468
604.88,0.3513
620,0.272
635.9,0.2308
652.63,0.214
670.27,0.2093
688.89,0.213
708.57,0.2163
729.41,0.223
751.52,0.2365
775,0.25
800,0.2542
826.67,0.26
855.17,0.28
885.71,0.3
918.52,0.3063
953.85,0.31
992,0.3163
1033.33,0.33
1078.26,0.3642
1127.27,0.4
1180.95,0.4144
1240,0.433
1305.26,0.4822
1377.78,0.536
1458.82,0.5701
1550,0.606
1653.33,0.6584
1771.43,0.723
1907.69,0.7976
2066.67,0.89
2254.55,1.0057
2480,1.15
