Downloaded from “RefractiveIndex.INFO”,http://refractiveindex.info/
Wavelength (nm),n
188,1.35
192,1.37
195,1.39
199,1.4
203,1.4
207,1.41
212,1.43
216,1.44
221,1.47
226,1.49
231,1.53
237,1.57
243,1.61
249,1.66
255,1.7
262,1.75
269,1.79
276,1.84
284,1.88
292,1.94
301,2
311,2.06
320,2.12
332,2.19
342,2.27
354,2.35
368,2.43
381,2.5
397,2.58
413,2.65
431,2.71
451,2.77
471,2.82
496,2.88
521,2.91
549,2.93
582,2.99
617,3.05
659,3.1
704,3.19
756,3.28
821,3.39
892,3.56
984,3.79
1088,4.06
1216,4.39
1393,4.83
1610,5.39
1937,6.12
