Downloaded from “RefractiveIndex.INFO”,http://refractiveindex.info/
Wavelength (nm),n
188,1.29
192,1.35
195,1.42
199,1.45
203,1.47
207,1.49
212,1.47
216,1.47
221,1.47
226,1.47
231,1.48
237,1.48
243,1.5
249,1.51
255,1.53
262,1.56
269,1.59
276,1.62
284,1.64
292,1.65
301,1.67
311,1.69
320,1.74
332,1.78
342,1.85
354,1.93
368,2.02
381,2.12
397,2.24
413,2.35
431,2.48
451,2.59
471,2.67
496,2.74
521,2.86
549,2.95
582,2.94
617,2.88
659,2.92
704,2.86
756,2.87
821,2.94
892,2.96
984,2.92
1088,2.97
1216,3.03
1393,3.09
1610,3.11
1937,3.17
