Downloaded from “FILMETRICS”,http://www.filmetricsinc.jp/refractive-index-database
Wavelength(nm),n
250,2.3505
260,2.3552
270,2.3513
280,2.3414
290,2.3274
300,2.3105
310,2.2918
320,2.272
330,2.2516
340,2.231
350,2.2106
360,2.1904
370,2.1708
380,2.1516
390,2.1331
400,2.1152
410,2.098
420,2.0815
430,2.0657
440,2.0505
450,2.036
460,2.0221
470,2.0088
480,1.9961
490,1.9839
500,1.9723
510,1.9613
520,1.9507
530,1.9405
540,1.9308
550,1.9216
560,1.9127
570,1.9042
580,1.8961
590,1.8883
600,1.8808
610,1.8737
620,1.8668
630,1.8602
640,1.8539
650,1.8478
660,1.842
670,1.8364
680,1.831
690,1.8259
700,1.8209
710,1.8161
720,1.8115
730,1.807
740,1.8028
750,1.7986
760,1.7946
770,1.7908
780,1.7871
790,1.7835
800,1.7801
810,1.7767
820,1.7735
830,1.7704
840,1.7674
850,1.7645
