Downloaded from “FILMETRICS”,http://www.filmetricsinc.jp/refractive-index-database
Wavelength(nm),k
190.77,1.4269
192.25,1.4427
193.75,1.46
195.28,1.4785
196.83,1.4981
198.4,1.5187
200,1.54
201.63,1.5644
203.28,1.5883
204.96,1.6105
206.67,1.63
208.4,1.6456
210.17,1.67
211.97,1.6994
213.79,1.73
215.65,1.7556
217.54,1.78
219.47,1.805
221.43,1.83
223.42,1.8544
225.45,1.88
227.52,1.91
229.63,1.94
231.78,1.9656
233.96,1.99
236.19,2.0163
238.46,2.04
240.78,2.0563
243.14,2.07
245.54,2.0863
248,2.1
250.51,2.1069
253.06,2.11
255.67,2.1113
258.33,2.11
261.05,2.1056
263.83,2.1
266.67,2.0956
269.57,2.09
272.53,2.08
275.56,2.07
278.65,2.0656
281.82,2.06
285.06,2.0456
288.37,2.03
291.76,2.0188
295.24,2.01
298.8,2.005
302.44,2
306.17,1.9894
310,1.98
313.92,1.9781
317.95,1.98
322.08,1.9831
326.32,1.99
330.67,2.0025
335.14,2.02
339.73,2.0444
344.44,2.07
349.3,2.0894
354.29,2.11
359.42,2.1388
364.71,2.17
370.15,2.1994
375.76,2.23
381.54,2.265
387.5,2.3
393.65,2.3294
400,2.36
406.56,2.3988
413.33,2.44
420.34,2.4794
427.59,2.52
435.09,2.5638
442.86,2.61
450.91,2.6594
459.26,2.71
467.92,2.7588
476.92,2.81
486.27,2.8681
496,2.93
506.12,2.9944
516.67,3.06
527.66,3.1244
539.13,3.19
551.11,3.2588
563.64,3.33
576.74,3.4031
590.48,3.48
604.88,3.5638
620,3.65
635.9,3.7338
652.63,3.82
670.27,3.915
688.89,4.01
708.57,4.0988
729.41,4.18
751.52,4.2456
775,4.31
800,4.3881
826.67,4.47
855.17,4.5463
885.71,4.63
918.52,4.7344
953.85,4.85
992,4.9713
1033.33,5.1
1078.26,5.2331
1127.27,5.38
1180.95,5.5469
1240,5.74
1305.26,5.98
1377.78,6.23
1458.82,6.51
1550,6.82
1653.33,7.13
1771.43,7.48
1907.69,7.92
2066.67,8.35
2254.55,8.92
2480,9.64
