Downloaded from “FILMETRICS”,http://www.filmetricsinc.jp/refractive-index-database
Wavelength(nm),n
190.77,1.0131
192.25,1.0121
193.75,1.01
195.28,1.0073
196.83,1.0044
198.4,1.0018
200,1
201.63,1.0015
203.28,1.0038
204.96,1.0068
206.67,1.01
208.4,1.0131
210.17,1.02
211.97,1.0294
213.79,1.04
215.65,1.0494
217.54,1.06
219.47,1.0744
221.43,1.09
223.42,1.1044
225.45,1.12
227.52,1.1388
229.63,1.16
231.78,1.1838
233.96,1.21
236.19,1.2394
238.46,1.27
240.78,1.2994
243.14,1.33
245.54,1.3644
248,1.4
250.51,1.4356
253.06,1.47
255.67,1.5006
258.33,1.53
261.05,1.5613
263.83,1.59
266.67,1.6113
269.57,1.63
272.53,1.65
275.56,1.67
278.65,1.6913
281.82,1.71
285.06,1.7219
288.37,1.73
291.76,1.7363
295.24,1.74
298.8,1.7413
302.44,1.74
306.17,1.7356
310,1.73
313.92,1.7263
317.95,1.72
322.08,1.7063
326.32,1.69
330.67,1.6744
335.14,1.66
339.73,1.6488
344.44,1.64
349.3,1.6344
354.29,1.63
359.42,1.625
364.71,1.62
370.15,1.6144
375.76,1.61
381.54,1.6094
387.5,1.61
393.65,1.61
400,1.61
406.56,1.6094
413.33,1.61
420.34,1.6144
427.59,1.62
435.09,1.625
442.86,1.63
450.91,1.635
459.26,1.64
467.92,1.6444
476.92,1.65
486.27,1.6581
496,1.67
506.12,1.6888
516.67,1.71
527.66,1.7294
539.13,1.75
551.11,1.7744
563.64,1.8
576.74,1.8238
590.48,1.85
604.88,1.8819
620,1.92
635.9,1.9669
652.63,2.02
670.27,2.0775
688.89,2.14
708.57,2.2081
729.41,2.28
751.52,2.3575
775,2.43
800,2.4819
826.67,2.53
855.17,2.5906
885.71,2.65
918.52,2.6956
953.85,2.74
992,2.7931
1033.33,2.85
1078.26,2.9113
1127.27,2.97
1180.95,3.0213
1240,3.06
1305.26,3.11
1377.78,3.18
1458.82,3.27
1550,3.38
1653.33,3.49
1771.43,3.59
1907.69,3.69
2066.67,3.84
2254.55,3.9
2480,4.03
