Downloaded from “FILMETRICS”,http://www.filmetricsinc.jp/refractive-index-database
Wavelength(nm),k
206.67,1.4
208.4,1.4172
210.17,1.4344
211.97,1.4516
213.79,1.4688
215.65,1.486
217.54,1.5032
219.47,1.5204
221.43,1.5376
223.42,1.5548
225.45,1.572
227.52,1.5892
229.63,1.6064
231.78,1.6236
233.96,1.6408
236.19,1.6574
238.46,1.6749
240.78,1.6949
243.14,1.7166
245.54,1.7385
248,1.76
250.51,1.7815
253.06,1.8024
255.67,1.8242
258.33,1.8486
261.05,1.8746
263.83,1.9011
266.67,1.9272
269.57,1.9521
272.53,1.9741
275.56,1.9952
278.65,2.016
281.82,2.0375
285.06,2.0609
288.37,2.0867
291.76,2.1129
295.24,2.1382
298.8,2.1643
302.44,2.1927
306.17,2.223
310,2.2565
313.92,2.2918
317.95,2.3234
322.08,2.3458
326.32,2.3662
330.67,2.3894
335.14,2.4154
339.73,2.4458
344.44,2.4802
349.3,2.5156
354.29,2.55
359.42,2.5844
364.71,2.6188
370.15,2.6532
375.76,2.6869
381.54,2.7207
387.5,2.7577
393.65,2.8004
400,2.844
406.56,2.8829
413.33,2.9214
420.34,2.9643
427.59,3.0116
435.09,3.0599
442.86,3.1072
450.91,3.1545
459.26,3.2002
467.92,3.2477
476.92,3.302
486.27,3.3623
496,3.424
506.12,3.4842
516.67,3.5444
527.66,3.6052
539.13,3.6652
551.11,3.7211
563.64,3.7758
576.74,3.8379
590.48,3.9129
604.88,3.9942
620,4.0782
635.9,4.165
652.63,4.2536
670.27,4.3438
688.89,4.4355
708.57,4.5285
729.41,4.6254
751.52,4.7294
775,4.8384
800,4.9501
826.67,5.0657
855.17,5.1878
885.71,5.318
918.52,5.4567
953.85,5.6074
992,5.7644
1033.33,5.9204
1078.26,6.0787
1127.27,6.2454
1180.95,6.4245
1240,6.62
1305.26,6.77
1377.78,6.91
1458.82,6.98
1550,7.04
1653.33,7.02
1771.43,6.83
1907.69,6.66
2066.67,6.75
2254.55,7.14
2480,7.71
