Downloaded from “FILMETRICS”,http://www.filmetricsinc.jp/refractive-index-database
Wavelength(nm),n
206.67,1.38
208.4,1.3763
210.17,1.3716
211.97,1.3667
213.79,1.3622
215.65,1.3596
217.54,1.3594
219.47,1.36
221.43,1.36
223.42,1.36
225.45,1.36
227.52,1.36
229.63,1.36
231.78,1.36
233.96,1.36
236.19,1.36
238.46,1.36
240.78,1.36
243.14,1.36
245.54,1.3595
248,1.3587
250.51,1.3605
253.06,1.3691
255.67,1.3781
258.33,1.3807
261.05,1.3802
263.83,1.3811
266.67,1.3849
269.57,1.3907
272.53,1.3988
275.56,1.4078
278.65,1.4171
281.82,1.4257
285.06,1.4321
288.37,1.4361
291.76,1.4408
295.24,1.4484
298.8,1.4578
302.44,1.4701
306.17,1.4833
310,1.4945
313.92,1.5031
317.95,1.511
322.08,1.5186
326.32,1.5279
330.67,1.5438
335.14,1.5615
339.73,1.5752
344.44,1.5838
349.3,1.5913
354.29,1.5994
359.42,1.6084
364.71,1.6196
370.15,1.6329
375.76,1.6483
381.54,1.6655
387.5,1.6832
393.65,1.7004
400,1.7176
406.56,1.7343
413.33,1.7515
420.34,1.7713
427.59,1.7931
435.09,1.8137
442.86,1.8308
450.91,1.8479
459.26,1.8684
467.92,1.8902
476.92,1.9109
486.27,1.9317
496,1.9571
506.12,1.9906
516.67,2.0266
527.66,2.0612
539.13,2.0956
551.11,2.13
563.64,2.1644
576.74,2.1988
590.48,2.2332
604.88,2.2676
620,2.2986
635.9,2.3338
652.63,2.383
670.27,2.4438
688.89,2.5064
708.57,2.5657
729.41,2.6271
751.52,2.6926
775,2.7626
800,2.8388
826.67,2.9205
855.17,3.0053
885.71,3.0926
918.52,3.1877
953.85,3.2949
992,3.4149
1033.33,3.5495
1078.26,3.6997
1127.27,3.866
1180.95,4.0491
1240,4.25
1305.26,4.5
1377.78,4.77
1458.82,5.05
1550,5.31
1653.33,5.57
1771.43,5.71
1907.69,5.52
2066.67,5.13
2254.55,4.58
2480,3.91
