Downloaded from “FILMETRICS”,http://www.filmetricsinc.jp/refractive-index-database
Wavelength(nm),n
190.7,0.847
198.4,0.968
206.6,1.11
207.3,1.036
208,1.046
208.7,1.066
209.4,1.07
210.1,1.083
210.9,1.088
211.6,1.102
212.3,1.109
213,1.119
213.8,1.24
214.5,1.139
215.3,1.155
216,1.164
216.8,1.175
217.5,1.18
218.3,1.195
219.1,1.211
219.8,1.222
220.6,1.235
221.4,1.4
222.2,1.265
223,1.28
223.8,1.299
224.6,1.319
225.4,1.34
226.3,1.362
227.1,1.389
227.9,1.416
228.8,1.445
229.6,1.64
230.5,1.502
231.3,1.526
232.2,1.548
233.1,1.566
233.9,1.75
234.8,1.585
235.7,1.59
236.6,1.591
237.5,1.592
238.4,1.78
239.4,1.586
240.3,1.582
241.2,1.579
242.2,1.573
243.1,1.72
244.1,1.57
245,1.569
246,1.568
247,1.569
248,1.68
249,1.575
250,1.58
251,1.584
252,1.591
253,1.597
254.1,1.608
255.1,1.618
256.2,1.629
257.2,1.643
258.3,1.658
259.4,1.673
260.5,1.692
261.6,1.713
262.7,1.737
263.8,1.764
264.9,1.794
266.1,1.831
267.2,1.874
268.4,1.927
269.5,1.988
270.7,2.059
271.9,2.14
273.1,2.234
274.3,2.339
275.5,2.451
276.8,2.572
278,2.7
279.2,2.833
280.5,2.974
281.8,3.12
283.1,3.277
284.4,3.444
285.7,3.634
287,3.849
288.3,4.086
289.7,4.318
291,4.525
292.4,4.686
293.8,4.805
295.2,4.888
296.6,4.941
298,4.977
299.5,4.999
300.9,5.012
302.4,5.02
303.9,5.021
305.4,5.02
306.9,5.018
308.4,5.015
310,5.01
311.5,5.009
313.1,5.01
314.7,5.009
316.3,5.012
317.9,5.016
319.5,5.021
321.2,5.029
322.9,5.04
324.6,5.052
326.3,5.065
328,5.079
329.7,5.095
331.5,5.115
333.3,5.134
335.1,5.156
336.9,5.179
338.8,5.204
340.6,5.231
342.5,5.261
344.4,5.296
346.3,5.336
348.3,5.383
350.2,5.442
352.2,5.515
354.2,5.61
356.3,5.733
358.3,5.894
360.4,6.089
362.5,6.308
364.7,6.522
366.8,6.695
369,6.796
371.2,6.829
373.4,6.799
375.7,6.709
378,6.585
380.3,6.452
382.7,6.316
385,6.185
387.5,6.062
389.9,5.948
392.4,5.842
394.9,5.744
397.4,5.654
400,5.57
402.5,5.493
405.2,5.42
407.8,5.349
410.5,5.284
413.3,5.222
416.1,5.164
418.9,5.109
421.7,5.058
424.6,5.009
427.5,4.961
430.5,4.916
433.5,4.872
436.6,4.831
439.7,4.791
442.8,4.753
446,4.718
449.2,4.682
452.5,4.648
455.8,4.615
459.2,4.583
462.6,4.553
466.1,4.522
469.6,4.495
473.2,4.466
476.9,4.442
480.6,4.416
484.3,4.391
488.1,4.367
492,4.343
495.9,4.32
499.9,4.298
504,4.277
508.1,4.255
512.3,4.235
516.6,4.215
520.9,4.196
525.4,4.177
529.9,4.159
534.4,4.14
539.1,4.123
543.8,4.106
548.6,4.089
553.5,4.073
558.5,4.057
563.6,4.042
568.7,4.026
574,4.012
579.4,3.997
584.8,3.983
590.4,3.969
596.1,3.956
601.9,3.943
607.8,3.931
613.8,3.918
619.9,3.906
626.2,3.893
632.6,3.882
639.1,3.87
645.8,3.858
652.6,3.847
659.5,3.837
666.6,3.826
673.8,3.815
681.2,3.805
688.8,3.796
696.5,3.787
704.5,3.778
712.6,3.768
720.8,3.761
729.3,3.752
738,3.745
746.9,3.736
756,3.728
765.3,3.721
774.9,3.714
784.7,3.705
794.8,3.697
805.1,3.688
815.7,3.681
826.6,3.673
1120,3.5361
1144,3.5295
1200,3.5193
1372,3.5007
1400,3.4876
1532,3.4784
1600,3.471
1696,3.4644
1800,3.4578
2000,3.449
2437.3,3.4434
2500,3.4424
