Downloaded from “FILMETRICS”,http://www.filmetricsinc.jp/refractive-index-database
Wavelength(nm),k
190.77,2.95
191.51,2.971
192.25,2.9931
193,3.0162
193.75,3.04
194.51,3.0645
195.28,3.0894
196.05,3.1146
196.83,3.14
197.61,3.1654
198.4,3.1906
199.2,3.2155
200,3.24
200.81,3.263
201.63,3.2856
202.45,3.3079
203.28,3.33
204.12,3.352
204.96,3.3742
205.81,3.3968
206.67,3.42
207.53,3.444
208.4,3.468
209.28,3.492
210.17,3.516
211.06,3.54
211.97,3.5651
212.88,3.589
213.79,3.609
214.72,3.6251
215.65,3.64
216.59,3.6571
217.54,3.673
218.5,3.6856
219.47,3.6944
220.44,3.7
221.43,3.7024
222.42,3.7016
223.42,3.6982
224.43,3.6917
225.45,3.68
226.48,3.6591
227.52,3.6338
228.57,3.6074
229.63,3.5805
230.7,3.55
231.78,3.5119
232.86,3.471
233.96,3.4303
235.07,3.3906
236.19,3.35
237.32,3.3078
238.46,3.2633
239.61,3.2153
240.78,3.1638
241.95,3.11
243.14,3.0535
244.33,2.9974
245.54,2.9447
246.77,2.8962
248,2.85
249.25,2.8042
250.51,2.7607
251.78,2.7204
253.06,2.6836
254.36,2.65
255.67,2.6202
256.99,2.5929
258.33,2.5672
259.69,2.5428
261.05,2.52
262.43,2.4988
263.83,2.4792
265.24,2.4615
266.67,2.4454
268.11,2.43
269.57,2.414
271.04,2.398
272.53,2.3814
274.03,2.3647
275.56,2.35
277.09,2.3402
278.65,2.3329
280.23,2.3275
281.82,2.3234
283.43,2.32
285.06,2.3149
286.71,2.311
288.37,2.311
290.06,2.3149
291.76,2.32
293.49,2.3229
295.24,2.327
297.01,2.335
298.8,2.3469
300.61,2.36
302.44,2.3714
304.29,2.3835
306.17,2.3975
308.07,2.4134
310,2.43
311.95,2.4454
313.92,2.4615
315.92,2.4802
317.95,2.5007
320,2.52
322.08,2.5322
324.18,2.5437
326.32,2.5597
328.48,2.5802
330.67,2.6
332.89,2.6133
335.14,2.6246
337.41,2.636
339.73,2.648
342.07,2.66
344.44,2.6731
346.85,2.685
349.3,2.6936
351.77,2.6984
354.29,2.7
356.83,2.7001
359.42,2.695
362.04,2.6807
364.71,2.6574
367.41,2.63
370.15,2.6026
372.93,2.5743
375.76,2.5454
378.63,2.5167
381.54,2.49
384.5,2.467
387.5,2.4479
390.55,2.4339
393.65,2.425
396.8,2.42
400,2.4187
403.25,2.4194
406.56,2.4197
409.92,2.4194
413.33,2.42
416.81,2.4222
420.34,2.4267
423.93,2.4354
427.59,2.4475
431.3,2.46
435.09,2.467
438.94,2.4749
442.86,2.4892
446.85,2.5096
450.91,2.53
455.05,2.5422
459.26,2.5537
463.55,2.57
467.92,2.5908
472.38,2.61
476.92,2.6182
481.55,2.6255
486.27,2.6392
491.09,2.6596
496,2.68
501.01,2.6944
506.12,2.7056
511.34,2.7133
516.67,2.7178
522.11,2.72
527.66,2.7201
533.33,2.7198
539.13,2.7209
545.05,2.7242
551.11,2.73
557.3,2.7385
563.64,2.7514
570.11,2.7737
576.74,2.803
583.53,2.83
590.48,2.8401
597.59,2.8466
604.88,2.857
612.35,2.8729
620,2.89
627.85,2.9071
635.9,2.923
644.16,2.9366
652.63,2.9463
661.33,2.95
670.27,2.9429
679.45,2.929
688.89,2.9107
698.59,2.8882
708.57,2.86
718.84,2.8209
729.41,2.7798
740.3,2.7417
751.52,2.7106
763.08,2.69
775,2.6889
787.3,2.7002
800,2.7231
813.11,2.7546
826.67,2.79
840.68,2.8186
855.17,2.8511
870.18,2.8935
885.71,2.9474
901.82,3.01
918.52,3.0828
935.85,3.1604
953.85,3.2345
972.55,3.307
992,3.39
1012.24,3.5058
1033.33,3.6289
1055.32,3.7434
1078.26,3.8447
1102.22,3.94
1127.27,4.0333
1153.49,4.1198
1180.95,4.1978
1209.76,4.2651
1240,4.32
1271.79,4.3701
1305.26,4.4159
1340.54,4.4419
1377.78,4.44
1417.14,4.3809
1458.82,4.4052
1503.03,4.5668
1550,4.8156
1600,5.1049
1653.33,5.3937
1710.34,5.7365
1771.43,6.13
1837.04,6.5316
1907.69,6.9595
1984,7.4203
2066.67,7.96
2156.52,8.5635
2254.55,9.1931
2361.9,9.8473
2480,10.5
