Downloaded from “FILMETRICS”,http://www.filmetricsinc.jp/refractive-index-database
Wavelength(nm),n
190.77,1.26
191.51,1.2706
192.25,1.2825
193,1.2956
193.75,1.31
194.51,1.3256
195.28,1.3425
196.05,1.3606
196.83,1.38
197.61,1.4006
198.4,1.4225
199.2,1.4456
200,1.47
200.81,1.496
201.63,1.5231
202.45,1.5512
203.28,1.58
204.12,1.6091
204.96,1.6388
205.81,1.6691
206.67,1.7
207.53,1.7314
208.4,1.7635
209.28,1.7969
210.17,1.8322
211.06,1.87
211.97,1.9122
212.88,1.9569
213.79,2.0032
214.72,2.0508
215.65,2.1
216.59,2.1508
217.54,2.2032
218.5,2.2572
219.47,2.3128
220.44,2.37
221.43,2.4288
222.42,2.4892
223.42,2.5518
224.43,2.6161
225.45,2.68
226.48,2.7412
227.52,2.8008
228.57,2.8591
229.63,2.9158
230.7,2.97
231.78,3.0198
232.86,3.0671
233.96,3.1131
235.07,3.1578
236.19,3.2
237.32,3.2384
238.46,3.2736
239.61,3.3059
240.78,3.335
241.95,3.36
243.14,3.3802
244.33,3.3949
245.54,3.4026
246.77,3.4035
248,3.4
249.25,3.3933
250.51,3.3846
251.78,3.376
253.06,3.368
254.36,3.36
255.67,3.3526
256.99,3.3445
258.33,3.3345
259.69,3.3226
261.05,3.31
262.43,3.298
263.83,3.286
265.24,3.274
266.67,3.262
268.11,3.25
269.57,3.238
271.04,3.226
272.53,3.2143
274.03,3.2026
275.56,3.19
277.09,3.1746
278.65,3.1583
280.23,3.1417
281.82,3.1254
283.43,3.11
285.06,3.0979
286.71,3.0862
288.37,3.0725
290.06,3.0566
291.76,3.04
293.49,3.0229
295.24,3.007
297.01,2.995
298.8,2.9869
300.61,2.98
302.44,2.9714
304.29,2.9635
306.17,2.9572
308.07,2.9528
310,2.95
311.95,2.9482
313.92,2.9487
315.92,2.953
317.95,2.9609
320,2.97
322.08,2.9774
324.18,2.9855
326.32,2.9952
328.48,3.0068
330.67,3.02
332.89,3.0348
335.14,3.0512
337.41,3.0692
339.73,3.0888
342.07,3.11
344.44,3.1328
346.85,3.1572
349.3,3.1826
351.77,3.2095
354.29,3.24
356.83,3.2798
359.42,3.3205
362.04,3.3564
364.71,3.3856
367.41,3.41
370.15,3.4302
372.93,3.4449
375.76,3.4526
378.63,3.4535
381.54,3.45
384.5,3.4438
387.5,3.4351
390.55,3.4242
393.65,3.4119
396.8,3.4
400,3.3919
403.25,3.3842
406.56,3.3742
409.92,3.3619
413.33,3.35
416.81,3.3408
420.34,3.3332
423.93,3.3278
427.59,3.3241
431.3,3.32
435.09,3.311
438.94,3.3029
442.86,3.3009
446.85,3.305
450.91,3.31
455.05,3.3095
459.26,3.3094
463.55,3.313
467.92,3.3209
472.38,3.33
476.92,3.3374
481.55,3.3455
486.27,3.3549
491.09,3.3662
496,3.38
501.01,3.3993
506.12,3.4198
511.34,3.4388
516.67,3.4552
522.11,3.47
527.66,3.4843
533.33,3.4958
539.13,3.5018
545.05,3.5023
551.11,3.5
557.3,3.4944
563.64,3.4904
570.11,3.4938
576.74,3.5051
583.53,3.52
590.48,3.5354
597.59,3.5517
604.88,3.5674
612.35,3.5827
620,3.6
627.85,3.6222
635.9,3.6469
644.16,3.6732
652.63,3.7008
661.33,3.73
670.27,3.7636
679.45,3.7956
688.89,3.8218
698.59,3.8401
708.57,3.85
718.84,3.8503
729.41,3.8398
740.3,3.8151
751.52,3.777
763.08,3.73
775,3.6749
787.3,3.6178
800,3.5669
813.11,3.523
826.67,3.48
840.68,3.4326
855.17,3.3843
870.18,3.3354
885.71,3.2867
901.82,3.24
918.52,3.1982
935.85,3.1589
953.85,3.1202
972.55,3.0829
992,3.05
1012.24,3.023
1033.33,3.0049
1055.32,3.0009
1078.26,3.011
1102.22,3.03
1127.27,3.0571
1153.49,3.0862
1180.95,3.1126
1209.76,3.1321
1240,3.14
1271.79,3.1516
1305.26,3.1531
1340.54,3.1456
1377.78,3.11
1417.14,3.0228
1458.82,2.7842
1503.03,2.4236
1550,2.2738
1600,2.1675
1653.33,1.9263
1710.34,1.7268
1771.43,1.59
1837.04,1.4865
1907.69,1.3964
1984,1.2993
2066.67,1.21
2156.52,1.1819
2254.55,1.2119
2361.9,1.2793
2480,1.4
