Downloaded from “FILMETRICS”,http://www.filmetricsinc.jp/refractive-index-database
Wavelength(nm),n
206.64,1.83
210.14,1.83
213.77,1.83
217.52,1.83
221.4,1.83
225.43,1.83
229.6,1.83
233.93,1.83
238.43,1.83
243.11,1.83
247.97,1.83
253.03,1.83
258.3,1.83
263.8,1.83
269.53,1.83
275.52,1.83
281.78,1.82
288.34,1.82
295.2,1.82
302.4,1.81
309.96,1.81
317.91,1.81
326.28,1.8
335.1,1.8
344.4,1.8
354.24,1.8
364.66,1.79
375.71,1.79
387.45,1.79
399.95,1.79
413.28,1.78
427.54,1.78
442.8,1.78
459.2,1.78
476.87,1.78
495.94,1.78
516.6,1.77
539.07,1.77
563.57,1.77
590.41,1.77
619.93,1.77
652.55,1.77
688.81,1.76
729.32,1.76
774.91,1.76
826.57,1.76
885.61,1.76
953.73,1.76
1033.21,1.75
1127.14,1.75
1239.85,1.75
1377.61,1.75
1549.81,1.75
1771.22,1.74
2066.42,1.74
2479.7,1.73
