Downloaded from “RefractiveIndex.INFO”,http://refractiveindex.info/
Wavelength (nm),n
200,1.396
225,1.373
250,1.362
275,1.354
300,1.349
325,1.346
350,1.343
375,1.341
400,1.339
425,1.338
450,1.337
475,1.336
500,1.335
525,1.334
550,1.333
575,1.333
600,1.332
625,1.332
650,1.331
675,1.331
700,1.331
725,1.33
750,1.33
775,1.33
800,1.329
825,1.329
850,1.329
875,1.328
900,1.328
925,1.328
950,1.327
975,1.327
1000,1.327
1200,1.324
1400,1.321
1600,1.317
1800,1.312
2000,1.306
2200,1.296
2400,1.279
2600,1.242
2650,1.219
2700,1.188
2750,1.157
2800,1.142
2850,1.149
2900,1.201
2950,1.292
3000,1.371
3050,1.426
3100,1.467
3150,1.483
3200,1.478
3250,1.467
3300,1.45
3350,1.432
3400,1.42
3450,1.41
3500,1.4
3600,1.385
3700,1.374
3800,1.364
3900,1.357
4000,1.351
4100,1.346
4200,1.342
4300,1.338
4400,1.334
4500,1.332
4600,1.33
4700,1.33
4800,1.33
4900,1.328
5000,1.325
5100,1.322
5200,1.317
5300,1.312
5400,1.305
5500,1.298
5600,1.289
5700,1.277
5800,1.262
5900,1.248
6000,1.265
6100,1.319
6200,1.363
6300,1.357
6400,1.347
6500,1.339
6600,1.334
6700,1.329
6800,1.324
6900,1.321
7000,1.317
7100,1.314
7200,1.312
7300,1.309
7400,1.307
7500,1.304
7600,1.302
7700,1.299
7800,1.297
7900,1.294
8000,1.291
8200,1.286
8400,1.281
8600,1.275
8800,1.269
9000,1.262
9200,1.255
9400,1.247
9600,1.239
9800,1.229
10000,1.218
10500,1.185
11000,1.153
11500,1.126
12000,1.111
12500,1.123
13000,1.146
13500,1.177
14000,1.21
14500,1.241
15000,1.27
15500,1.297
16000,1.325
16500,1.351
17000,1.376
17500,1.401
18000,1.423
18500,1.443
19000,1.461
19500,1.476
20000,1.48
21000,1.487
22000,1.5
23000,1.511
24000,1.521
25000,1.531
26000,1.539
27000,1.545
28000,1.549
29000,1.551
30000,1.551
32000,1.546
34000,1.536
36000,1.527
38000,1.522
40000,1.519
42000,1.522
44000,1.53
46000,1.541
48000,1.555
50000,1.587
60000,1.703
70000,1.821
80000,1.886
90000,1.924
100000,1.957
110000,1.966
120000,2.004
130000,2.036
140000,2.056
150000,2.069
160000,2.081
170000,2.094
180000,2.107
190000,2.119
200000,2.13
