"Downloaded from ""FILMETRICS""",http://www.filmetrics.com/refractive-index-database/
Wavelength(nm),n
360,1.69295
400,1.69295
400.47,1.6927
401.23,1.6922
401.98,1.6918
402.73,1.6914
403.48,1.691
404.24,1.6906
404.99,1.6902
405.74,1.6898
406.5,1.6894
407.25,1.689
408,1.6886
408.75,1.6882
409.5,1.6878
410.26,1.6874
411.01,1.687
411.76,1.6866
412.51,1.6863
413.26,1.6859
414.02,1.6855
414.77,1.6852
415.52,1.6848
416.27,1.6844
417.02,1.6841
417.77,1.6837
418.52,1.6834
419.27,1.683
420.02,1.6827
420.78,1.6823
421.53,1.682
422.28,1.6816
423.03,1.6813
423.78,1.681
424.53,1.6806
425.28,1.6803
426.03,1.68
426.78,1.6797
427.53,1.6793
428.28,1.679
429.03,1.6787
429.78,1.6784
430.53,1.6781
431.28,1.6778
432.03,1.6775
432.78,1.6771
433.53,1.6768
434.28,1.6765
435.02,1.6762
435.77,1.6759
436.52,1.6756
437.27,1.6754
438.02,1.6751
438.77,1.6748
439.52,1.6745
440.27,1.6742
441.01,1.6739
441.76,1.6736
442.51,1.6734
443.26,1.6731
444.01,1.6728
444.76,1.6725
445.5,1.6723
446.25,1.672
447,1.6717
447.75,1.6714
448.49,1.6712
449.24,1.6709
449.99,1.6707
450.74,1.6704
451.48,1.6701
452.23,1.6699
452.98,1.6696
453.72,1.6694
454.47,1.6691
455.22,1.6689
455.96,1.6686
456.71,1.6684
457.46,1.6681
458.2,1.6679
458.95,1.6676
459.7,1.6674
460.44,1.6672
461.19,1.6669
461.94,1.6667
462.68,1.6665
463.43,1.6662
464.17,1.666
464.92,1.6658
465.66,1.6655
466.41,1.6653
467.15,1.6651
467.9,1.6649
468.65,1.6646
469.39,1.6644
470.14,1.6642
470.88,1.664
471.63,1.6638
472.37,1.6635
473.11,1.6633
473.86,1.6631
474.6,1.6629
475.35,1.6627
476.09,1.6625
476.84,1.6623
477.58,1.6621
478.33,1.6619
479.07,1.6617
479.81,1.6615
480.56,1.6613
481.3,1.6611
482.04,1.6609
482.79,1.6607
483.53,1.6605
484.27,1.6603
485.02,1.6601
485.76,1.6599
486.5,1.6597
487.25,1.6595
487.99,1.6593
488.73,1.6591
489.48,1.6589
490.22,1.6587
490.96,1.6585
491.7,1.6584
492.45,1.6582
493.19,1.658
493.93,1.6578
494.67,1.6576
495.41,1.6575
496.16,1.6573
496.9,1.6571
497.64,1.6569
498.38,1.6567
499.12,1.6566
499.86,1.6564
500.61,1.6562
501.35,1.656
502.09,1.6559
502.83,1.6557
503.57,1.6555
504.31,1.6554
505.05,1.6552
505.79,1.655
506.53,1.6549
507.28,1.6547
508.02,1.6545
508.76,1.6544
509.5,1.6542
510.24,1.6541
510.98,1.6539
511.72,1.6537
512.46,1.6536
513.2,1.6534
513.94,1.6533
514.68,1.6531
515.42,1.6529
516.16,1.6528
516.9,1.6526
517.64,1.6525
518.37,1.6523
519.11,1.6522
519.85,1.652
520.59,1.6519
521.33,1.6517
522.07,1.6516
522.81,1.6514
523.55,1.6513
524.29,1.6512
525.02,1.651
525.76,1.6509
526.5,1.6507
527.24,1.6506
527.98,1.6504
528.72,1.6503
529.45,1.6502
530.19,1.65
530.93,1.6499
531.67,1.6497
532.41,1.6496
533.14,1.6495
533.88,1.6493
534.62,1.6492
535.36,1.6491
536.09,1.6489
536.83,1.6488
537.57,1.6487
538.3,1.6485
539.04,1.6484
539.78,1.6483
540.51,1.6481
541.25,1.648
541.99,1.6479
542.72,1.6477
543.46,1.6476
544.2,1.6475
544.93,1.6474
545.67,1.6472
546.4,1.6471
547.14,1.647
547.88,1.6469
548.61,1.6467
549.35,1.6466
550.08,1.6465
550.82,1.6464
551.55,1.6463
552.29,1.6461
553.02,1.646
553.76,1.6459
554.49,1.6458
555.23,1.6457
555.96,1.6455
556.7,1.6454
557.43,1.6453
558.17,1.6452
558.9,1.6451
559.64,1.645
560.37,1.6448
561.11,1.6447
561.84,1.6446
562.57,1.6445
563.31,1.6444
564.04,1.6443
564.78,1.6442
565.51,1.6441
566.24,1.6439
566.98,1.6438
567.71,1.6437
568.44,1.6436
569.18,1.6435
569.91,1.6434
570.64,1.6433
571.38,1.6432
572.11,1.6431
572.84,1.643
573.57,1.6429
574.31,1.6428
575.04,1.6427
575.77,1.6426
576.51,1.6425
577.24,1.6424
577.97,1.6423
578.7,1.6422
579.43,1.6421
580.17,1.642
580.9,1.6419
581.63,1.6418
582.36,1.6417
583.09,1.6416
583.82,1.6415
584.56,1.6414
585.29,1.6413
586.02,1.6412
586.75,1.6411
587.48,1.641
588.21,1.6409
588.94,1.6408
589.67,1.6407
590.4,1.6406
591.14,1.6405
591.87,1.6404
592.6,1.6403
593.33,1.6402
594.06,1.6401
594.79,1.64
595.52,1.6399
596.25,1.6398
596.98,1.6398
597.71,1.6397
598.44,1.6396
599.17,1.6395
599.9,1.6394
600.63,1.6393
601.36,1.6392
602.08,1.6391
602.81,1.639
603.54,1.639
604.27,1.6389
605,1.6388
605.73,1.6387
606.46,1.6386
607.19,1.6385
607.92,1.6384
608.64,1.6383
609.37,1.6383
610.1,1.6382
610.83,1.6381
611.56,1.638
612.29,1.6379
613.01,1.6378
613.74,1.6378
614.47,1.6377
615.2,1.6376
615.93,1.6375
616.65,1.6374
617.38,1.6374
618.11,1.6373
618.84,1.6372
619.56,1.6371
620.29,1.637
621.02,1.637
621.74,1.6369
622.47,1.6368
623.2,1.6367
623.92,1.6366
624.65,1.6366
625.38,1.6365
626.1,1.6364
626.83,1.6363
627.56,1.6363
628.28,1.6362
629.01,1.6361
629.73,1.636
630.46,1.636
631.19,1.6359
631.91,1.6358
632.64,1.6357
633.36,1.6357
634.09,1.6356
634.81,1.6355
635.54,1.6354
636.27,1.6354
636.99,1.6353
637.72,1.6352
638.44,1.6351
639.17,1.6351
639.89,1.635
640.61,1.6349
641.34,1.6349
642.06,1.6348
642.79,1.6347
643.51,1.6347
644.24,1.6346
644.96,1.6345
645.69,1.6344
646.41,1.6344
647.13,1.6343
647.86,1.6342
648.58,1.6342
649.3,1.6341
650.03,1.634
650.75,1.634
651.47,1.6339
652.2,1.6338
652.92,1.6338
653.64,1.6337
654.37,1.6336
655.09,1.6336
655.81,1.6335
656.54,1.6334
657.26,1.6334
657.98,1.6333
658.7,1.6332
659.43,1.6332
660.15,1.6331
660.87,1.6331
661.59,1.633
662.32,1.6329
663.04,1.6329
663.76,1.6328
664.48,1.6327
665.2,1.6327
665.92,1.6326
666.65,1.6326
667.37,1.6325
668.09,1.6324
668.81,1.6324
669.53,1.6323
670.25,1.6322
670.97,1.6322
671.69,1.6321
672.41,1.6321
673.14,1.632
673.86,1.6319
674.58,1.6319
675.3,1.6318
676.02,1.6318
676.74,1.6317
677.46,1.6317
678.18,1.6316
678.9,1.6315
679.62,1.6315
680.34,1.6314
681.06,1.6314
681.78,1.6313
682.5,1.6313
683.22,1.6312
683.94,1.6311
684.66,1.6311
685.38,1.631
686.09,1.631
686.81,1.6309
687.53,1.6309
688.25,1.6308
688.97,1.6308
689.69,1.6307
690.41,1.6306
691.13,1.6306
691.84,1.6305
692.56,1.6305
693.28,1.6304
694,1.6304
694.72,1.6303
695.44,1.6303
696.15,1.6302
696.87,1.6302
697.59,1.6301
698.31,1.6301
699.02,1.63
699.74,1.6299
700,1.6299
830,1.6299
