Downloaded from “FILMETRICS”,http://www.filmetricsinc.jp/refractive-index-database
Wavelength(nm),n
200,1.6479
205,1.641
210,1.6347
215,1.629
220,1.6238
225,1.6191
230,1.6147
235,1.6107
240,1.607
245,1.6035
250,1.6003
255,1.5974
260,1.5946
265,1.5921
270,1.5897
275,1.5874
280,1.5853
285,1.5833
290,1.5814
295,1.5797
300,1.578
305,1.5765
310,1.575
315,1.5736
320,1.5722
325,1.571
330,1.5698
335,1.5686
340,1.5676
345,1.5665
350,1.5655
355,1.5646
360,1.5637
365,1.5628
370,1.562
375,1.5612
380,1.5605
385,1.5597
390,1.559
395,1.5584
400,1.5577
405,1.5571
410,1.5565
415,1.5559
420,1.5554
425,1.5549
430,1.5544
435,1.5539
440,1.5534
445,1.5529
450,1.5525
455,1.5521
460,1.5516
465,1.5512
470,1.5508
475,1.5505
480,1.5501
485,1.5497
490,1.5494
495,1.5491
500,1.5487
505,1.5484
510,1.5481
515,1.5478
520,1.5475
525,1.5472
530,1.547
535,1.5467
540,1.5464
545,1.5462
550,1.5459
555,1.5457
560,1.5455
565,1.5452
570,1.545
575,1.5448
580,1.5446
585,1.5444
590,1.5442
595,1.544
600,1.5438
605,1.5436
610,1.5434
615,1.5432
620,1.543
625,1.5429
630,1.5427
635,1.5425
640,1.5424
645,1.5422
650,1.542
655,1.5419
660,1.5417
665,1.5416
670,1.5414
675,1.5413
680,1.5412
685,1.541
690,1.5409
700,1.5406
710,1.5404
720,1.5401
730,1.5399
740,1.5396
750,1.5394
760,1.5392
770,1.539
780,1.5387
790,1.5385
800,1.5383
810,1.5381
820,1.5379
830,1.5378
840,1.5376
850,1.5374
860,1.5372
870,1.537
880,1.5369
890,1.5367
900,1.5365
910,1.5364
920,1.5362
930,1.5361
940,1.5359
950,1.5357
960,1.5356
970,1.5354
980,1.5353
990,1.5351
1000,1.535
1010,1.5349
1020,1.5347
1030,1.5346
1040,1.5344
1050,1.5343
1060,1.5342
1070,1.534
1080,1.5339
1090,1.5337
1100,1.5336
1110,1.5335
1120,1.5333
1130,1.5332
1140,1.5331
1150,1.5329
1160,1.5328
1170,1.5327
1180,1.5326
1190,1.5324
1200,1.5323
1210,1.5322
1220,1.532
1230,1.5319
1240,1.5318
1250,1.5316
1260,1.5315
1270,1.5314
1280,1.5313
1290,1.5311
1300,1.531
1310,1.5309
1320,1.5307
1330,1.5306
1340,1.5305
1350,1.5303
1360,1.5302
1370,1.5301
1380,1.53
1390,1.5298
1400,1.5297
1410,1.5296
1420,1.5294
1430,1.5293
1440,1.5292
1450,1.529
1460,1.5289
1470,1.5288
1480,1.5286
1490,1.5285
1500,1.5284
1510,1.5282
1520,1.5281
1530,1.528
1540,1.5278
1550,1.5277
1560,1.5276
1570,1.5274
1580,1.5273
1590,1.5271
1600,1.527
1610,1.5269
1620,1.5267
1630,1.5266
1640,1.5264
1650,1.5263
1660,1.5262
1670,1.526
1680,1.5259
1690,1.5257
1700,1.5256
1710,1.5254
1720,1.5253
1730,1.5252
1740,1.525
1750,1.5249
1760,1.5247
1770,1.5246
1780,1.5244
1790,1.5243
1800,1.5241
1810,1.524
1820,1.5238
1830,1.5237
1840,1.5235
1850,1.5233
1860,1.5232
1870,1.523
1880,1.5229
1890,1.5227
1900,1.5226
1910,1.5224
1920,1.5222
1930,1.5221
1940,1.5219
1950,1.5218
1960,1.5216
1970,1.5214
1980,1.5213
1990,1.5211
2000,1.5209
