Downloaded from “FILMETRICS”,http://www.filmetricsinc.jp/refractive-index-database
Wavelength(nm),n
210,1.5384
215,1.5332
220,1.5285
225,1.5242
230,1.5202
235,1.5166
240,1.5133
245,1.5103
250,1.5074
255,1.5048
260,1.5024
265,1.5001
270,1.498
275,1.496
280,1.4942
285,1.4924
290,1.4908
295,1.4892
300,1.4878
305,1.4864
310,1.4851
315,1.4839
320,1.4827
325,1.4816
330,1.4806
335,1.4796
340,1.4787
345,1.4778
350,1.4769
355,1.4761
360,1.4753
365,1.4745
370,1.4738
375,1.4731
380,1.4725
385,1.4719
390,1.4713
395,1.4707
400,1.4701
405,1.4696
410,1.4691
415,1.4686
420,1.4681
425,1.4676
430,1.4672
435,1.4668
440,1.4663
445,1.466
450,1.4656
455,1.4652
460,1.4648
465,1.4645
470,1.4641
475,1.4638
480,1.4635
485,1.4632
490,1.4629
495,1.4626
500,1.4623
505,1.4621
510,1.4618
515,1.4615
520,1.4613
525,1.461
530,1.4608
535,1.4606
540,1.4603
545,1.4601
550,1.4599
555,1.4597
560,1.4595
565,1.4593
570,1.4591
575,1.4589
580,1.4587
585,1.4586
590,1.4584
595,1.4582
600,1.458
605,1.4579
610,1.4577
615,1.4576
620,1.4574
625,1.4572
630,1.4571
635,1.457
640,1.4568
645,1.4567
650,1.4565
655,1.4564
660,1.4563
665,1.4561
670,1.456
675,1.4559
680,1.4558
685,1.4556
690,1.4555
695,1.4554
700,1.4553
710,1.4551
720,1.4549
730,1.4546
740,1.4544
750,1.4542
760,1.454
770,1.4539
780,1.4537
790,1.4535
800,1.4533
810,1.4531
820,1.453
830,1.4528
840,1.4527
850,1.4525
860,1.4523
870,1.4522
880,1.452
890,1.4519
900,1.4518
910,1.4516
920,1.4515
930,1.4513
940,1.4512
950,1.4511
960,1.4509
970,1.4508
980,1.4507
990,1.4505
1000,1.4504
1010,1.4503
1020,1.4502
1030,1.45
1040,1.4499
1050,1.4498
1060,1.4497
1070,1.4496
1080,1.4494
1090,1.4493
1100,1.4492
1110,1.4491
1120,1.449
1130,1.4489
1140,1.4487
1150,1.4486
1160,1.4485
1170,1.4484
1180,1.4483
1190,1.4482
1200,1.4481
1210,1.4479
1220,1.4478
1230,1.4477
1240,1.4476
1250,1.4475
1260,1.4474
1270,1.4473
1280,1.4471
1290,1.447
1300,1.4469
1310,1.4468
1320,1.4467
1330,1.4466
1340,1.4465
1350,1.4464
1360,1.4462
1370,1.4461
1380,1.446
1390,1.4459
1400,1.4458
1410,1.4457
1420,1.4455
1430,1.4454
1440,1.4453
1450,1.4452
1460,1.4451
1470,1.445
1480,1.4449
1490,1.4447
1500,1.4446
1510,1.4445
1520,1.4444
1530,1.4443
1540,1.4441
1550,1.444
1560,1.4439
1570,1.4438
1580,1.4437
1590,1.4435
1600,1.4434
1610,1.4433
1620,1.4432
1630,1.4431
1640,1.4429
1650,1.4428
1660,1.4427
1670,1.4426
1680,1.4424
1690,1.4423
1700,1.4422
1710,1.442
1720,1.4419
1730,1.4418
1740,1.4417
1750,1.4415
1760,1.4414
1770,1.4413
1780,1.4411
1790,1.441
1800,1.4409
1810,1.4407
1820,1.4406
1830,1.4405
1840,1.4403
1850,1.4402
1860,1.4401
1870,1.4399
1880,1.4398
1890,1.4397
1900,1.4395
1910,1.4394
1920,1.4392
1930,1.4391
1940,1.4389
1950,1.4388
1960,1.4387
1970,1.4385
1980,1.4384
1990,1.4382
2000,1.4381
2010,1.4379
2020,1.4378
2030,1.4376
2040,1.4375
2050,1.4373
2060,1.4372
2070,1.437
2080,1.4369
2090,1.4367
2100,1.4366
2110,1.4364
2120,1.4363
2130,1.4361
2140,1.436
2150,1.4358
2160,1.4357
2170,1.4355
2180,1.4353
2190,1.4352
2200,1.435
2210,1.4349
2220,1.4347
2230,1.4345
2240,1.4344
2250,1.4342
2260,1.434
2270,1.4339
2280,1.4337
2290,1.4335
2300,1.4334
2310,1.4332
2320,1.433
2330,1.4328
2340,1.4327
2350,1.4325
2360,1.4323
2370,1.4322
2380,1.432
2390,1.4318
2400,1.4316
2410,1.4314
2420,1.4313
2430,1.4311
2440,1.4309
2450,1.4307
2460,1.4305
2470,1.4304
2480,1.4302
2490,1.43
2500,1.4298
