色彩科学ハンドブック (第3版),
Wavelength (nm),Relative intensity
380,0.001855812
385,0.002315347
390,0.002880928
395,0.003358136
400,0.005496739
405,0.026158115
410,0.00606232
415,0.005832553
420,0.00650418
425,0.007193482
430,0.007865109
435,0.057636225
440,0.018982308
445,0.009685572
450,0.010215804
455,0.010657665
460,0.011046501
465,0.011329292
470,0.01152371
475,0.011629757
480,0.011647431
485,0.011594408
490,0.011594408
495,0.011346966
500,0.011099525
505,0.010958129
510,0.010940455
515,0.011134873
520,0.011665105
525,0.012584174
530,0.014033475
535,0.016030683
540,0.018540448
545,0.044574842
550,0.030859506
555,0.027625091
560,0.030435321
565,0.032750667
570,0.034341363
575,0.038830662
580,0.040668799
585,0.034306015
590,0.03280369
595,0.030788809
600,0.028438113
605,0.025875325
610,0.023241839
615,0.020643702
620,0.018116262
625,0.01581859
630,0.013679987
635,0.011824175
640,0.010092084
645,0.008607434
650,0.007352551
655,0.006274413
660,0.005337669
665,0.004542321
670,0.003888368
675,0.003305113
680,0.002827904
685,0.002421393
690,0.002279998
695,0.001855812
700,0.001608371
705,0.001431627
710,0.001254883
715,0.001078139
720,0.000954418
725,0.000848371
730,0.000777674
735,0.000759999
740,0.000706976
745,0.000653953
750,0.000671627
755,0.000618604
760,0.000689302
765,0.00072465
770,0.000583255
775,0.000459534
780,0.000371162
