Munsell Color Science Laboratory,http://www.cis.rit.edu/research/mcsl2/online/cie.php
Wavelength (nm),Intensity
380,0.00117
385,0.00189
390,0.00359
395,0.00647
400,0.01214
405,0.01969
410,0.03707
415,0.06637
420,0.11541
425,0.18575
430,0.24769
435,0.29012
440,0.31228
445,0.3186
450,0.3167
455,0.31166
460,0.29821
465,0.27295
470,0.22991
475,0.18592
480,0.14494
485,0.10968
490,0.08257
495,0.06246
500,0.04776
505,0.03688
510,0.02698
515,0.01842
520,0.01221
525,0.0083
530,0.00549
535,0.0032
540,0.00146
545,0.00023
550,-0.00058
555,-0.00105
560,-0.0013
565,-0.00138
570,-0.00135
575,-0.00123
580,-0.00108
585,-0.00093
590,-0.00079
595,-0.00063
600,-0.00049
605,-0.00038
610,-0.0003
615,-0.00022
620,-0.00015
625,-0.00011
630,-0.00008
635,-0.00005
640,-0.00003
645,-0.00002
650,-0.00001
655,-0.00001
660,0
665,0
670,0
675,0
680,0
685,0
690,0
695,0
700,0
705,0
710,0
715,0
720,0
725,0
730,0
735,0
740,0
745,0
750,0
755,0
760,0
765,0
770,0
775,0
780,0
