Munsell Color Science Laboratory,http://www.cis.rit.edu/research/mcsl2/online/cie.php
Wavelength (nm),Intensity
380,-0.00001
385,-0.00002
390,-0.00004
395,-0.00007
400,-0.00014
405,-0.00022
410,-0.00041
415,-0.0007
420,-0.0011
425,-0.00143
430,-0.00119
435,-0.00021
440,0.00149
445,0.00379
450,0.00678
455,0.01046
460,0.01485
465,0.01977
470,0.02538
475,0.03183
480,0.03914
485,0.04713
490,0.05689
495,0.06948
500,0.08536
505,0.10593
510,0.1286
515,0.15262
520,0.17468
525,0.19113
530,0.20317
535,0.21083
540,0.21466
545,0.21487
550,0.21178
555,0.20588
560,0.19702
565,0.18522
570,0.17087
575,0.15429
580,0.1361
585,0.11686
590,0.09754
595,0.07909
600,0.06246
605,0.04776
610,0.03557
615,0.02583
620,0.01828
625,0.01253
630,0.00833
635,0.00537
640,0.00334
645,0.00199
650,0.00116
655,0.00066
660,0.00037
665,0.00021
670,0.00011
675,0.00006
680,0.00003
685,0.00001
690,0
695,0
700,0
705,0
710,0
715,0
720,0
725,0
730,0
735,0
740,0
745,0
750,0
755,0
760,0
765,0
770,0
775,0
780,0
