Munsell Color Science Laboratory,http://www.cis.rit.edu/research/mcsl2/online/cie.php
Wavelength (nm),Intensity
360,0.000003917
361,4.393581E-006
362,4.929604E-006
363,5.532136E-006
364,6.208245E-006
365,0.000006965
366,7.813219E-006
367,8.767336E-006
368,9.839844E-006
369,1.104323E-005
370,0.00001239
371,1.388641E-005
372,1.555728E-005
373,0.000017443
374,1.958375E-005
375,0.00002202
376,2.483965E-005
377,2.804126E-005
378,0.000031531
379,3.521521E-005
380,0.000039
381,4.28264E-005
382,4.69146E-005
383,5.15896E-005
384,5.71764E-005
385,0.000064
386,7.234421E-005
387,8.221224E-005
388,9.350816E-005
389,0.0001061361
390,0.00012
391,0.000134984
392,0.000151492
393,0.000170208
394,0.000191816
395,0.000217
396,0.0002469067
397,0.00028124
398,0.00031852
399,0.0003572667
400,0.000396
401,0.0004337147
402,0.000473024
403,0.000517876
404,0.0005722187
405,0.00064
406,0.00072456
407,0.0008255
408,0.00094116
409,0.00106988
410,0.00121
411,0.001362091
412,0.001530752
413,0.001720368
414,0.001935323
415,0.00218
416,0.0024548
417,0.002764
418,0.0031178
419,0.0035264
420,0.004
421,0.00454624
422,0.00515932
423,0.00582928
424,0.00654616
425,0.0073
426,0.008086507
427,0.00890872
428,0.00976768
429,0.01066443
430,0.0116
431,0.01257317
432,0.01358272
433,0.01462968
434,0.01571509
435,0.01684
436,0.01800736
437,0.01921448
438,0.02045392
439,0.02171824
440,0.023
441,0.02429461
442,0.02561024
443,0.02695857
444,0.02835125
445,0.0298
446,0.03131083
447,0.03288368
448,0.03452112
449,0.03622571
450,0.038
451,0.03984667
452,0.041768
453,0.043766
454,0.04584267
455,0.048
456,0.05024368
457,0.05257304
458,0.05498056
459,0.05745872
460,0.06
461,0.06260197
462,0.06527752
463,0.06804208
464,0.07091109
465,0.0739
466,0.077016
467,0.0802664
468,0.0836668
469,0.0872328
470,0.09098
471,0.09491755
472,0.09904584
473,0.1033674
474,0.1078846
475,0.1126
476,0.117532
477,0.1226744
478,0.1279928
479,0.1334528
480,0.13902
481,0.1446764
482,0.1504693
483,0.1564619
484,0.1627177
485,0.1693
486,0.1762431
487,0.1835581
488,0.1912735
489,0.199418
490,0.20802
491,0.2171199
492,0.2267345
493,0.2368571
494,0.2474812
495,0.2586
496,0.2701849
497,0.2822939
498,0.2950505
499,0.308578
500,0.323
501,0.3384021
502,0.3546858
503,0.3716986
504,0.3892875
505,0.4073
506,0.4256299
507,0.4443096
508,0.4633944
509,0.4829395
510,0.503
511,0.5235693
512,0.544512
513,0.56569
514,0.5869653
515,0.6082
516,0.6293456
517,0.6503068
518,0.6708752
519,0.6908424
520,0.71
521,0.7281852
522,0.7454636
523,0.7619694
524,0.7778368
525,0.7932
526,0.8081104
527,0.8224962
528,0.8363068
529,0.8494916
530,0.862
531,0.8738108
532,0.8849624
533,0.8954936
534,0.9054432
535,0.9148501
536,0.9237348
537,0.9320924
538,0.9399226
539,0.9472252
540,0.954
541,0.9602561
542,0.9660074
543,0.9712606
544,0.9760225
545,0.9803
546,0.9840924
547,0.9874182
548,0.9903128
549,0.9928116
550,0.9949501
551,0.9967108
552,0.9980983
553,0.999112
554,0.9997482
555,1
556,0.9998567
557,0.9993046
558,0.9983255
559,0.9968987
560,0.995
561,0.9926005
562,0.9897426
563,0.9864444
564,0.9827241
565,0.9786
566,0.9740837
567,0.9691712
568,0.9638568
569,0.9581349
570,0.952
571,0.9454504
572,0.9384992
573,0.9311628
574,0.9234576
575,0.9154
576,0.9070064
577,0.8982772
578,0.8892048
579,0.8797816
580,0.87
581,0.8598613
582,0.849392
583,0.838622
584,0.8275813
585,0.8163
586,0.8047947
587,0.793082
588,0.781192
589,0.7691547
590,0.757
591,0.7447541
592,0.7324224
593,0.7200036
594,0.7074965
595,0.6949
596,0.6822192
597,0.6694716
598,0.6566744
599,0.6438448
600,0.631
601,0.6181555
602,0.6053144
603,0.5924756
604,0.5796379
605,0.5668
606,0.5539611
607,0.5411372
608,0.5283528
609,0.5156323
610,0.503
611,0.4904688
612,0.4780304
613,0.4656776
614,0.4534032
615,0.4412
616,0.42908
617,0.417036
618,0.405032
619,0.393032
620,0.381
621,0.3689184
622,0.3568272
623,0.3447768
624,0.3328176
625,0.321
626,0.3093381
627,0.2978504
628,0.2865936
629,0.2756245
630,0.265
631,0.2547632
632,0.2448896
633,0.2353344
634,0.2260528
635,0.217
636,0.2081616
637,0.1995488
638,0.1911552
639,0.1829744
640,0.175
641,0.1672235
642,0.1596464
643,0.1522776
644,0.1451259
645,0.1382
646,0.1315003
647,0.1250248
648,0.1187792
649,0.1127691
650,0.107
651,0.1014762
652,0.09618864
653,0.09112296
654,0.08626485
655,0.0816
656,0.07712064
657,0.07282552
658,0.06871008
659,0.06476976
660,0.061
661,0.05739621
662,0.05395504
663,0.05067376
664,0.04754965
665,0.04458
666,0.04175872
667,0.03908496
668,0.03656384
669,0.03420048
670,0.032
671,0.02996261
672,0.02807664
673,0.02632936
674,0.02470805
675,0.0232
676,0.02180077
677,0.02050112
678,0.01928108
679,0.01812069
680,0.017
681,0.01590379
682,0.01483718
683,0.01381068
684,0.01283478
685,0.01192
686,0.01106831
687,0.01027339
688,0.009533311
689,0.008846157
690,0.00821
691,0.007623781
692,0.007085424
693,0.006591476
694,0.006138485
695,0.005723
696,0.005343059
697,0.004995796
698,0.004676404
699,0.004380075
700,0.004102
701,0.003838453
702,0.003589099
703,0.003354219
704,0.003134093
705,0.002929
706,0.002738139
707,0.002559876
708,0.002393244
709,0.002237275
710,0.002091
711,0.001953587
712,0.00182458
713,0.00170358
714,0.001590187
715,0.001484
716,0.001384496
717,0.001291268
718,0.001204092
719,0.001122744
720,0.001047
721,0.0009765896
722,0.0009111088
723,0.0008501332
724,0.0007932384
725,0.00074
726,0.0006900827
727,0.00064331
728,0.000599496
729,0.0005584547
730,0.00052
731,0.0004839136
732,0.0004500528
733,0.0004183452
734,0.0003887184
735,0.0003611
736,0.0003353835
737,0.0003114404
738,0.0002891656
739,0.0002684539
740,0.0002492
741,0.0002313019
742,0.0002146856
743,0.0001992884
744,0.0001850475
745,0.0001719
746,0.0001597781
747,0.0001486044
748,0.0001383016
749,0.0001287925
750,0.00012
751,0.0001118595
752,0.0001043224
753,9.73356E-005
754,9.084587E-005
755,0.0000848
756,7.914667E-005
757,0.000073858
758,0.000068916
759,6.430267E-005
760,0.00006
761,5.598187E-005
762,5.22256E-005
763,4.87184E-005
764,4.544747E-005
765,0.0000424
766,0.000039561
767,3.691512E-005
768,3.444868E-005
769,3.214816E-005
770,0.00003
771,2.799125E-005
772,2.611356E-005
773,2.436024E-005
774,2.272461E-005
775,0.0000212
776,1.977855E-005
777,1.845285E-005
778,1.721687E-005
779,1.606459E-005
780,0.00001499
781,1.398728E-005
782,1.305155E-005
783,1.217818E-005
784,1.136254E-005
785,0.0000106
786,9.885877E-006
787,9.217304E-006
788,8.592362E-006
789,8.009133E-006
790,7.4657E-006
791,6.959567E-006
792,0.000006488
793,6.048699E-006
794,5.639396E-006
795,5.2578E-006
796,4.901771E-006
797,4.56972E-006
798,4.260194E-006
799,3.971739E-006
800,3.7029E-006
801,3.452163E-006
802,3.218302E-006
803,3.0003E-006
804,2.797139E-006
805,2.6078E-006
806,2.43122E-006
807,2.266531E-006
808,0.000002113
809,1.969943E-006
810,1.8366E-006
811,1.71223E-006
812,1.596228E-006
813,1.48809E-006
814,1.387314E-006
815,1.2934E-006
816,1.20582E-006
817,1.124143E-006
818,0.000001048
819,9.770578E-007
820,9.1093E-007
821,8.492513E-007
822,7.917212E-007
823,7.380904E-007
824,6.881098E-007
825,6.4153E-007
826,5.980895E-007
827,5.575746E-007
828,5.19808E-007
829,4.846123E-007
830,4.5181E-007
